word,label,confidence,reason
दिल,correct_spelling,HIGH,in dictionary + morphologically valid
था,correct_spelling,HIGH,in dictionary + morphologically valid
क्या,correct_spelling,HIGH,in dictionary + morphologically valid
क्यों,correct_spelling,HIGH,in dictionary + morphologically valid
मेरी,correct_spelling,HIGH,in dictionary + morphologically valid
वे,correct_spelling,HIGH,in dictionary + morphologically valid
फिर,correct_spelling,HIGH,in dictionary + morphologically valid
इस,correct_spelling,HIGH,in dictionary + morphologically valid
छोटी,correct_spelling,HIGH,in dictionary + morphologically valid
लिया,correct_spelling,HIGH,in dictionary + morphologically valid
तीन,correct_spelling,HIGH,in dictionary + morphologically valid
हूं,correct_spelling,HIGH,in dictionary + morphologically valid
देना,correct_spelling,HIGH,in dictionary + morphologically valid
करें,correct_spelling,HIGH,in dictionary + morphologically valid
पाँच,correct_spelling,HIGH,in dictionary + morphologically valid
बाद,correct_spelling,HIGH,in dictionary + morphologically valid
गए,correct_spelling,HIGH,in dictionary + morphologically valid
कर,correct_spelling,HIGH,in dictionary + morphologically valid
मेरा,correct_spelling,HIGH,in dictionary + morphologically valid
जिंदगी,correct_spelling,HIGH,in dictionary + morphologically valid
बड़ा,correct_spelling,HIGH,in dictionary + morphologically valid
वो,correct_spelling,HIGH,in dictionary + morphologically valid
करते,correct_spelling,HIGH,in dictionary + morphologically valid
सोच,correct_spelling,HIGH,in dictionary + morphologically valid
कौन,correct_spelling,HIGH,in dictionary + morphologically valid
होती,correct_spelling,HIGH,in dictionary + morphologically valid
हैं,correct_spelling,HIGH,in dictionary + morphologically valid
अभी,correct_spelling,HIGH,in dictionary + morphologically valid
कैसे,correct_spelling,HIGH,in dictionary + morphologically valid
हमारा,correct_spelling,HIGH,in dictionary + morphologically valid
इन,correct_spelling,HIGH,in dictionary + morphologically valid
समझना,correct_spelling,HIGH,in dictionary + morphologically valid
साल,correct_spelling,HIGH,in dictionary + morphologically valid
सौ,correct_spelling,HIGH,in dictionary + morphologically valid
गया,correct_spelling,HIGH,in dictionary + morphologically valid
का,correct_spelling,HIGH,in dictionary + morphologically valid
से,correct_spelling,HIGH,in dictionary + morphologically valid
जी,correct_spelling,HIGH,in dictionary + morphologically valid
रुपये,correct_spelling,HIGH,in dictionary + morphologically valid
होना,correct_spelling,HIGH,in dictionary + morphologically valid
में,correct_spelling,HIGH,in dictionary + morphologically valid
हुई,correct_spelling,HIGH,in dictionary + morphologically valid
कि,correct_spelling,HIGH,in dictionary + morphologically valid
लोग,correct_spelling,HIGH,in dictionary + morphologically valid
झूठ,correct_spelling,HIGH,in dictionary + morphologically valid
देता,correct_spelling,HIGH,in dictionary + morphologically valid
बड़े,correct_spelling,HIGH,in dictionary + morphologically valid
सच,correct_spelling,HIGH,in dictionary + morphologically valid
पांच,correct_spelling,HIGH,in dictionary + morphologically valid
कभी,correct_spelling,HIGH,in dictionary + morphologically valid
नाम,correct_spelling,HIGH,in dictionary + morphologically valid
दस,correct_spelling,HIGH,in dictionary + morphologically valid
बात,correct_spelling,HIGH,in dictionary + morphologically valid
जाना,correct_spelling,HIGH,in dictionary + morphologically valid
लेना,correct_spelling,HIGH,in dictionary + morphologically valid
पर,correct_spelling,HIGH,in dictionary + morphologically valid
नया,correct_spelling,HIGH,in dictionary + morphologically valid
दो,correct_spelling,HIGH,in dictionary + morphologically valid
तो,correct_spelling,HIGH,in dictionary + morphologically valid
कब,correct_spelling,HIGH,in dictionary + morphologically valid
लेता,correct_spelling,HIGH,in dictionary + morphologically valid
आठ,correct_spelling,HIGH,in dictionary + morphologically valid
नई,correct_spelling,HIGH,in dictionary + morphologically valid
हां,correct_spelling,HIGH,in dictionary + morphologically valid
को,correct_spelling,HIGH,in dictionary + morphologically valid
और,correct_spelling,HIGH,in dictionary + morphologically valid
सरकार,correct_spelling,HIGH,in dictionary + morphologically valid
चार,correct_spelling,HIGH,in dictionary + morphologically valid
