id,reference,pretrained_hyp,finetuned_hyp,pretrained_correct,finetuned_correct
1766,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,कुछ आँगो में आज्टर केंद्रक होता है जिस का मतलब यहां की उन में थोडे या बिना किसी जटके से तुटनें की प्रवत्ती होती है,start 3 27 end 16 86 speaker id 216793 text जी जी मतलब इसके बारे मतलब बारे मतलब जो मतलब अपने जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब अपने जो बारे मतलब जो बारे मतलब जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब,False,False
1784,ग्रीनलैंड को बहुत कम जगह बसाया गया था नॉर्स सगास में वे कहते हैं कि एरिक रेड हत्या के लिए आइसलैंड से निर्वासित किया गया था और आगे पश्चिम की यात्रा करते समय ग्रीनलैंड मिला जिसे ग्रीनलैंड नाम दिया गया,ग्रीन लेंड को बहुत कुम जगर बसाया गया ता नोर्ष सगास में भे कहते हैं कि एरेक रेड रेद हत्या के लिए आइस लेंड से निर्वासित की आद गया ता और आगे पश्च्ट्म की याट्र करते समय ग्रीन लेंड मिला जिसे ग्रीन लेंड नाम दिया गया,start 0 01 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब जोना मतलब जोना मतलब जोना मतलब जोना मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False
1718,ऐसी कोई वैश्विक परिभाषा नहीं है जिसके लिए निर्मित सामान एंटीक होते हैं कुछ कर एजेंसियां 100 साल से पुराने सामान को एंटीक के तौर पर परिभाषित करती हैं,अईसी कोई वैस्पिक परिवाशा नहीं है जिसके लिए निरमित समान अंटिक होते है पुचकर अजंश्या शव साल से पुराने समान को अंटिक के तोर पर परिवाशित करती है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False
1778,टेलीविजन रिपोर्टों में प्लांट से निकलने वाला सफेद धुआं दिखाया गया है,तेलीविशन लिपोटो में प्लांट से निकलनेवाला सबे दुवा दिखाया गया हैर,start 0 17 end 14 97 speaker id 256866 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False
1828,इंटरनेट पर यह खोज शत्रुतापूर्ण पर्यावरण पाठ्यक्रम के लिए अक्सर आपको एक स्थानीय कंपनी का पता प्रदान करेगी,अंटरनेट पर्ये खोज सत्रुता पुर्न पर्यावरं पाटक्रम के लिये अकसर आपको एक इस्ठान्ने कमपनी का पता प्रदान करेगी,start 2 05 end 2 86 speaker id 213009 text जी मिस्ट्री व्यवाली थी तो मेरा पसंदी थी कि मैं जो देख रहे हूं थोड़े व्यवाली थी कि मैं जो देख रहे हूं थोड़ी पसंदी थी तो मैं जो देख रहे हूं मैं पसंदी थी तो मैं जो देख रहे हूं मैं पसंदी थी तो मैं जो देख रहे हूं थोड़ी पसंदी पसंदी पसंदी पसंदी पसंदी पसंदी पसंदी पसंदी पसंदी थी तो मैं जो देख रहे हूं मैं पसंदी पसंदी थी तो मैं जो देख रहे हूं थोड़ी व्यवाली व्यवाली व्यवाली व्यवाली व्यवाली व्यवाली व्यवाली व्यवाली,False,False
1666,अपनी सरकार के अलावा आप अन्य देशों की सरकारों की सलाह ले सकते हैं हालांकि उनकी सलाह उनके नागरिकों को ध्यान में रखकर दी जाती हैं,अपनी सर्कार के लागा अप अन्यदेशो की सर्कारो की सला ले सकते हैं हलाकी उनकी सला उनके नागरिको को दियान में रक्कल दी जाती है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब,False,False
1836,प्राचीनकाल से ही लोग सोने चांदी और तांबे जैसे रासायनिक तत्वों के बारे में ही जानकारी रखते हैं क्योंकि इन्हें प्रकृति में मूल स्वरूप में ढूंढा जा सकता है और इन्हें प्राथमिक उपकरणों के ज़रिए ढूंढना अपेक्षाकृत आसान है,प्राछीन काल से ही लोग सोने चार्दी और तामबे जैसे रासायनिक तत्पोगे बारे में ही जानकारी रकते हैं कि इने प्रक्रिती में मूल स्वरिएप में दूना चासकता हैं और इने प्रात्मिक उपकरनो के जर ये दूना अपेक्षा क्रित आसान है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False
1792,इसे केमिकल का ph कहा जाता है आप लाल गोभी के जूस का इस्तेमाल करके एक संकेतक बना सकते हैं,इसे केमिकल का पीज कहा जाता है आप लाल गोभी के जूस को इस्तमाल करके एक संके तक बना सकते हैं,start 0 01 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False
1827,सबसे नज़दीकी सिरे पर क्रस्ट की मोटाई करीब 70 किलोमीटर है और सबसे दूर के सिरे पर यह 100 किलोमीटर है,सबसे नज्दी किसरे पर क्रस्ट की मोटाए करिव सथटर किलोमिटर है और सबसे दूर किसरे पर या सो किलोमिटर है,start 0 01 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False
1985,यह संबंधित है लेकिन आम तौर पर इसमें अल्पाइन शैली की स्की टूरिंग या माउंटेनीयरिंग शामिल नहीं होती है जिसे खड़े इलाकों में किया जाता है और जिसके लिए बहुत कड़ी स्की और बूट की ज़रूरत होती है,जिया सम्मन्दित है लेकिन आम तोर पर इस में आल्पाईंच्या लिए की तूरिंग या मांटे नियरंग सामिल नहीं होती है जिसे खडे अलाक्पों में किया जाता है और जिसके लिए बवोट्खडिस की और बूट की जरुरत होती है,start 1 01 end 15 05 speaker id 95637 text जी जी मैडम थोड़ थोड़ी आवाज कट होग जाते हैं और जीवन की मैडम होग मेरी आवाज आवाज आवाज आवाज आवाज आवाज आवाज आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी आवाज मेरी मैज मेरी आवाज मेरी �ावाज मेरी आवाज मेरी मैजब मेरी �ावाज मेरी आवाज मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी मेरी,False,False
