id,reference,pretrained_hyp,finetuned_hyp,pretrained_correct,finetuned_correct,utt_wer
1766,कुछ अणुओं में अस्थिर केंद्रक होता है जिसका मतलब यह है कि उनमें थोड़े या बिना किसी झटके से टूटने की प्रवृत्ति होती है,कुछ आँगो में आज्टर केंद्रक होता है जिस का मतलब यहां की उन में थोडे या बिना किसी जटके से तुटनें की प्रवत्ती होती है,start 3 27 end 16 86 speaker id 216793 text जी जी मतलब इसके बारे मतलब बारे मतलब जो मतलब अपने जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब जो बारे मतलब अपने जो बारे मतलब जो बारे मतलब जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अपने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब अबने जो बारे मतलब,False,False,3.9166666666666665
1961,समाजीकरण के महत्व को स्पष्ट करने के लिए इस्तेमाल किए जाने वाले सबसे आम तरीकों में से कुछ बच्चों के दुर्भाग्यपूर्ण मामलों को आकर्षित करना है जो बड़े होने के दौरान वयस्कों द्वारा उपेक्षित नहीं बल्कि उपेक्षा दुर्भाग्य या दुर्व्यवहार के माध्यम से होते थे,समाजी करन के महतु को इश्पष्ट करने के लिए इस्तमाल की एजाने वाले सबसे आम तरीको में से कुझ बच्छो के दुर्बागी पुरन मामलो को आकर्षिट करना है जो बड़े होने के दवरान वैस को दवारा उपेक्षित नहीं बलकी उपेक्षा दुर्बागे या दुर्वेवार के माद्धेम से होते थे,start 2 05 end 2 86 speaker id 213009 text जी मिस्ट्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे,False,False,1.6
1808,लड़ाई के आख़िरी दो सालों में पहले के साथी अब दुश्मन बन गए थे और शीत युद्ध की शुरुआत हो चुकी थी,लड़ाई के आखरी दो सालो में पहले के साती अब धिश्मन बन गए ते और शित युद्ध की शिर्वात हो चुकी ते,start 3 74 end 5 24 speaker id 216793 text आप आप अपनी कॉलेज में स्वालेज में आप अपने कॉलेज में आप अपने कॉलेज में स्वालो जो आप कॉलेज में आप अपने कॉलेज में स्वालो जो आप कॉलेज में स्वालो जो आप कॉलेज में आपने कॉलेज में स्वालो जो में स्वालो जो आपने कॉलेज में स्वालो जो में आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने,False,False,3.5454545454545454
1721,1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,उन्निस्स्सो तर्सट में पांद बनने के बाध मोसमी बाड जो पूरे नदी में खल्चट फैला देगी वर रुग गयती,start 68 01 end 82 62 speaker id 106218 text जी मिस्टेट के हम लोग जरूर हैं बट अलगअलग डिस्ट्रिक्ट के हैं बट हैं उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनको उनकोउनकोए,False,False,4.7368421052631575
1669,पुलिस अधीक्षक चंद्र शेखर सोलंकी ने कहा कि आरोपी ढके हुए चेहरे के साथ अदालत में पेश हुए थे,पूलिस अदिक्षक चंदर सेखर सुलंकी ने का की अरोपी डखेवे चेरे के साथ अदालत में पेश हुए ते,start 0 21 end 14 07 speaker id 256866 text जी मिस्ट्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे,False,False,4.0
1722,इस साल की शुरुआत में 53 साल के कुओमो ने अपना शासनकाल शुरू किया और पिछले महीने समलैंगिक विवाह को वैध बनाने वाले बिल पर हस्ताक्षर किए,इस्थाल की शिर्वात में ट्रिप्पन् साल के कुवो मोंने अपना शासन काल शरू किया और पिछले महीने सम लैंगे क्विवाहा को वैर्द बनानिख वाले बिल पर हस्ताक्षर किये,start 0 17 end 14 07 speaker id 256866 text जी मिस्ट्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे मिस्टेट के बारे,False,False,2.814814814814815
1810,कैलिफोर्निया के गवर्नर अर्नोल्ड श्वार्ज़नेगर ने कानून में एक बिल पर हस्ताक्षर किए जो नाबालिगों को हिंसक वीडियो गेम उन्हें बेचने या किराए पर देने से प्रतिबंध लगाता है,कालिपरन्या के गवरनर औरनल् स्वाजनेगर ने कानुम में एक भील पर हत्तक्यर किये जो नाभाली कुके हिंसक भीडियो गेम उने भेजने या किरये पर देने से प्रतिबंदल लगाया है,start 0 01 end 14 14 speaker id 215819 text जी मैं पूरा होता है जी मैं पूरा होता है जी मैं पूरा होता है start 14 14 end 24 21 speaker id 215819 text जी मैं पूरा होता है जी मैं पूरा होता है start 28 18 end 32 speaker id 215819 text जी मैं पूरा होता है जी मैं पूरा होता हैं पूरा होता है जी मैं पूरा होता है जी मैं पूरा होता है जी मैं पूरा होता है जी मैं पूरा होता है start 33 47 end 48 21 speaker id 215819 text जी मैं पूरा होता है तो मैं पूरा होता है तो मैं पूरा होता है तो मैं पूरा होता है पूरा होता है पूरा होता है पूरा होता है पूरा होता है start 52 48 end 67 18 speaker id 215819 text पूरा होता हैं�,False,False,4.862068965517241
1817,हालांकि शेंगेन ज़ोन इस मामले में कुछ हद तक एक देश की तरह काम करता है,हाला की शेंगन जोन इस मामले में एक हाथ तक एक देश कितरा काम करता है,start 1 04 end 15 11 speaker id 256866 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,6.75
1793,यदि आपको देश की सड़कों पर वाहन चलाने की आदत नहीं है तो अपने साथ यह जानकारी रखें स्टीप ग्रेड्‍स पतली गलियाँ और ख़तरनाक मोड़,यादि आपको देश की सलको पर वाहन चलानी की आदत नहीं है तो आपने सात्या जानकारी रख्कें इस्टीप गेट्स पत्ली गल्यां और खतरनाक मोल,start 1 04 end 15 11 speaker id 256866 text आप आप अपनी कॉलेज मिलते हैं जब ज़्यादा रहते हैं और बहुत आप अपनी कॉलेज मिलते हैं और बहुत आपनी कॉलेज मिलते हैं और बहुत आपनी कॉलेज मिलते हैं और बहुत आपनी कॉलेज मिलते हैं और बहुत आपनी कॉलेज मिलते हैं और बहुत start 15 35 end 29 63 speaker id 256866 text आपके आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत आपनी बहुत,False,False,3.64
1938,अस्पताल ने संक्रमण नियंत्रण के लिए नियमों का पालन किया है इन नियमों में दूसरों के संभावित संक्रमण को रोकने के लिए रोगी को दूसरों से अलग करना शामिल है,अश्पताल से सक्रम्म नियंट्रन्ट करने के लिए नियमो का पालन की है इन नियमो में दुस्रुक से समभावित संक्रमट को रोकने के लिए रोगी से दूर अलक करना शामिल है,start 0 23 end 14 04 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,3.6333333333333333
1990,ब्लॉग से छात्र लेखन में सुधार करने में भी मदद मिल सकती है जहां छात्र अपने ब्लॉग अनुभव की शुरुआत अक्सर बेतरतीब व्याकरण और वर्तनी के साथ करते हैं वहीं दर्शकों की मौजूदगी से इसमें आम तौर पर बदलाव आता है,बलोग से चात्र लेकन में स्तुदार करने में भी मदध निसकती है जहां चात्र अपने बलोग अनुबग की सुर्वात अक्सर बेतर्तीब वयकरन और वर्तनी के साथ करते है वही दर्सकों की मुझुद्गी से इस में आम तोर पर बडलाव आता है,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,2.6341463414634148
1788,अमेरिकी जिमनास्टिक्स संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है साथ ही सभी एथलीटों को एक सुरक्षित माहौल देने के लिए ओलंपिक परिवार के होने की अहमियत स्वीकार करता है,अमेर की जिमनास्टिक सईन्युप्त्राज अलंपिक समेटी के पट्रका समर्ठन करता है साथ ही सभी अत्लीटों को एक सुरच्छित महाल देने के लिए अलंपिक परवार के होने की अहमियत को श्विकार करता है,start 0 21 end 14 07 speaker id 256866 text जी मिस्टेट के हम लोग जरूर हैं बट अलगअलग डिस्ट्रिक्ट के हैं बट एक ही स्टेट के हैं तो उसके सामने उसको एक ही बुरा लगता था कि हर चीज का सॉल्यूशन हो भी इमोशनल हो जाता था तो उसके सामने सामने सामने सामने उसके सामने सामने सामने उसके सामने सामने सामने उसके सामने सामने सामने सामने उसके सामने सामने सामने सामने सामने सामने सामने उसके सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने सामने स,False,False,3.09375
1842,हालांकि डायनासोर के पंखों के शाफ्ट पूरी तरह से विकसित नहीं होते हैं और उन्हें रैचिस कहा जाता है लेकिन उनके पंखों में बार्ब्स और बार्बुल्स जैसी अन्य खूबियां होती हैं शोधकर्ताओं ने अनुमान लगाया है कि डायनासोर की अन्य खूबियों की तरह शायद रैचिस भी बाद में विकसित हुए होंगे,हालांकी दिनासोर के पंकूंके शाफ्ट पूरी तरहे से विखसित नहीं होते हैं और उनहे राचिक कहा जाता हैं लिकिन उनके पंकूं में बाबरस और बाबुलरस जैसी अन्निखुबिया होती हैं शोग करता हो के अनुमान लगाया जाता है की दिनासोर की अन्निखुबियों की तरहे शायद राचिक भी बाद में विखसित हुए हूंगे,start 0 23 end 14 14 speaker id 216849 text जी जी मतलब इसके बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक बारे मतलब एक मतलब एक बारे मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब एक मतलब,False,False,2.1372549019607843
